REFERENCE_NUMBER,NUMBER_OF_VEHICLES,FULL_DATE,FULL_TIME,ROAD_CLASS,ROAD_SURFACE_CODE,LIGHTING_CODE,WEATHER_CODE,CASUALTY_NUMBER,CASUALTY_CLASS,SEX_OF_CASUALTY,AGE_OF_CASUALTY,CASUALTY_SEVERITY,VEHICLE_1,VEHICLE_2,VEHICLE_3,VEHICLE_4,VEHICLE_5,VEHICLE_6,VEHICLE_7,VEHICLE_8,VEHICLE_9,VEHICLE_10
1420290,2,13/03/2024,1200,6,1,1,1,1,1,1,63,2,9,1,0,0,0,0,0,0,0,0
1420334,2,10/03/2024,1900,6,1,7,1,1,1,2,49,3,9,9,0,0,0,0,0,0,0,0
1420334,2,10/03/2024,1900,6,1,7,1,2,2,2,12,3,9,9,0,0,0,0,0,0,0,0
1420732,2,13/03/2024,1705,6,1,1,1,1,1,2,67,3,9,9,0,0,0,0,0,0,0,0
1420795,1,14/03/2024,1625,3,1,1,1,1,1,1,24,2,2,0,0,0,0,0,0,0,0,0
1421095,2,15/03/2024,1120,6,1,1,1,1,1,1,44,2,9,9,0,0,0,0,0,0,0,0
1421116,1,15/03/2024,1315,3,1,1,1,1,2,1,70,3,11,0,0,0,0,0,0,0,0,0
1421178,1,15/03/2024,1400,6,1,1,9,1,3,1,28,3,11,0,0,0,0,0,0,0,0,0
1421259,2,15/03/2024,2110,3,2,4,1,1,1,2,44,3,9,9,0,0,0,0,0,0,0,0
1421259,2,15/03/2024,2110,3,2,4,1,2,2,2,37,3,9,9,0,0,0,0,0,0,0,0
1421287,1,15/03/2024,2207,6,3,4,1,1,3,1,34,3,9,0,0,0,0,0,0,0,0,0
1421410,2,15/03/2024,1132,1,2,1,1,1,1,1,40,3,9,9,0,0,0,0,0,0,0,0
1421508,1,16/03/2024,1747,6,2,1,2,1,3,1,29,2,9,0,0,0,0,0,0,0,0,0
1421605,2,16/03/2024,1550,6,1,1,1,1,1,1,48,3,9,9,0,0,0,0,0,0,0,0
1421605,2,16/03/2024,1550,6,1,1,1,2,2,1,13,3,9,9,0,0,0,0,0,0,0,0
1421614,1,15/03/2024,1940,6,1,4,1,1,3,1,72,3,9,0,0,0,0,0,0,0,0,0
1421725,2,17/03/2024,1802,6,1,1,1,1,1,2,37,3,9,9,0,0,0,0,0,0,0,0
1421732,2,14/03/2024,1434,4,2,1,2,1,1,2,33,3,9,9,0,0,0,0,0,0,0,0
1422109,1,17/03/2024,1630,6,1,1,1,1,3,2,23,3,11,0,0,0,0,0,0,0,0,0
1422196,2,18/03/2024,1647,6,1,1,1,1,1,1,43,2,9,90,0,0,0,0,0,0,0,0
1422209,1,17/03/2024,810,1,2,1,1,1,1,2,63,2,9,0,0,0,0,0,0,0,0,0
1422510,2,19/03/2024,905,6,1,1,1,1,1,2,32,3,9,9,0,0,0,0,0,0,0,0
1422510,2,19/03/2024,905,6,1,1,1,2,2,2,25,3,9,9,0,0,0,0,0,0,0,0
1422533,2,19/03/2024,1623,3,1,5,1,1,1,2,70,3,21,9,0,0,0,0,0,0,0,0
1422938,2,20/03/2024,950,6,2,1,2,1,1,2,40,3,9,9,0,0,0,0,0,0,0,0
1422970,2,20/03/2024,1850,6,1,4,1,1,1,1,28,2,1,9,0,0,0,0,0,0,0,0
1423115,2,21/03/2024,930,3,1,1,1,1,1,1,84,3,9,9,0,0,0,0,0,0,0,0
1423115,2,21/03/2024,930,3,1,1,1,2,2,2,83,3,9,9,0,0,0,0,0,0,0,0
1423115,2,21/03/2024,930,3,1,1,1,3,1,2,61,3,9,9,0,0,0,0,0,0,0,0
1423394,2,21/03/2024,1822,3,1,4,2,1,1,1,48,3,9,9,0,0,0,0,0,0,0,0
1423394,2,21/03/2024,1822,3,1,4,2,2,2,1,14,3,9,9,0,0,0,0,0,0,0,0
1423425,2,22/03/2024,500,6,2,4,2,1,1,1,45,3,9,1,0,0,0,0,0,0,0,0
1423668,2,21/03/2024,2140,3,1,4,1,1,1,1,39,3,9,1,0,0,0,0,0,0,0,0
1423710,2,22/03/2024,1606,6,1,1,4,1,2,1,14,3,9,9,0,0,0,0,0,0,0,0
1423710,2,22/03/2024,1606,6,1,1,4,2,1,2,53,3,9,9,0,0,0,0,0,0,0,0
1423710,2,22/03/2024,1606,6,1,1,4,3,1,2,20,3,9,9,0,0,0,0,0,0,0,0
1423763,2,22/03/2024,1830,3,1,4,1,1,1,1,80,3,9,9,0,0,0,0,0,0,0,0
1423908,2,22/03/2024,1845,3,1,1,1,1,1,2,30,3,9,9,0,0,0,0,0,0,0,0
1423973,3,22/03/2024,1525,6,1,1,1,1,1,1,25,3,9,9,9,0,0,0,0,0,0,0
1423973,3,22/03/2024,1525,6,1,1,1,2,1,1,60,3,9,9,9,0,0,0,0,0,0,0
1423984,1,23/03/2024,1502,4,1,1,1,1,3,1,12,2,1,0,0,0,0,0,0,0,0,0
1424030,2,23/03/2024,1755,6,1,1,8,1,1,1,48,3,9,9,0,0,0,0,0,0,0,0
1424049,1,23/03/2024,1419,3,1,1,1,1,1,1,80,2,9,0,0,0,0,0,0,0,0,0
1424083,1,23/03/2024,2040,6,2,7,1,1,1,1,47,3,9,0,0,0,0,0,0,0,0,0
1424280,2,23/03/2024,1903,6,1,6,1,1,2,1,18,2,9,9,0,0,0,0,0,0,0,0
1424280,2,23/03/2024,1903,6,1,6,1,2,1,1,47,2,9,9,0,0,0,0,0,0,0,0
1424280,2,23/03/2024,1903,6,1,6,1,3,1,1,18,3,9,9,0,0,0,0,0,0,0,0
1424625,2,25/03/2024,800,6,2,1,2,1,1,2,42,3,9,9,0,0,0,0,0,0,0,0
1424645,1,23/03/2024,1437,6,1,1,1,1,3,2,11,3,9,0,0,0,0,0,0,0,0,0
1424727,2,25/03/2024,2122,6,2,4,2,1,1,1,42,3,19,1,0,0,0,0,0,0,0,0
1424987,2,25/03/2024,1917,4,1,4,1,1,1,2,26,3,9,9,0,0,0,0,0,0,0,0
1425033,2,16/03/2024,2000,4,2,7,2,1,1,1,67,2,9,1,0,0,0,0,0,0,0,0
1425050,2,25/03/2024,1300,3,1,1,2,1,1,2,82,3,9,9,0,0,0,0,0,0,0,0
1425088,2,26/03/2024,1630,3,1,1,1,1,1,1,35,3,1,9,0,0,0,0,0,0,0,0
