"REFERENCE_NUMBER","EASTING","NORTHING","NUMBER_OF_VEHICLES","ACCIDENT_DATE","TIME_24HR","ROAD_CLASS","ROAD_SURFACE","LIGHTING_CONDITIONS","WEATHER_CONDITIONS","CASUALTY_CLASS","CASUALTY_SEVERITY","SEX_OF_CASUALTY","AGE_OF_CASUALTY","VEHICLE_TYPE","ROAD_CLASS_CODE","ROAD_SURFACE_CODE","LIGHTING_CODE","WEATHER_CODE","CASUALTY_CLASS_CODE","CASUALTY_SEVERITY_CODE","SEX_OF_CASUALTY_CODE","AGE_OF_CASUALTY_CODE","VEHICLE_TYPE_CODE"
"22N1481","422226","441980","2","23-Feb-15","2110","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Driver/Rider","Slight","Female","43","Car","3","2","4","2","","3","2","43","9"
"22N1481","422226","441980","2","23-Feb-15","2110","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Passenger","Slight","Male","14","Car","3","2","4","2","","3","1","14","9"
"22N1481","422226","441980","2","23-Feb-15","2110","A","Wet / Damp","Darkness: street lights present and lit","Raining without high winds","Passenger","Slight","Male","13","Car","3","2","4","2","","3","1","13","9"
"22O0219","437634","438085","3","24-Feb-15","850","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","50","Minibus (8 ¿ 16 passenger seats)","3","2","1","1","","3","2","50",""
"22O0219","437634","438085","3","24-Feb-15","850","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","22","Minibus (8 ¿ 16 passenger seats)","3","2","1","1","","3","2","22",""
"22O0219","437634","438085","3","24-Feb-15","850","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","34","Minibus (8 ¿ 16 passenger seats)","3","2","1","1","","3","2","34",""
"22O0220","429101","431733","2","24-Feb-15","853","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","28","Car","6","1","1","1","","3","1","28","9"
"22O0431","431899","434893","2","24-Feb-15","1126","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","46","Car","6","1","1","1","","3","1","46","9"
"22O0940","428460","432444","1","24-Feb-15","1715","A","Dry","Daylight: street lights present","Fine without high winds","Pedestrian","Slight","Female","24","Car","3","1","1","1","3","3","2","24","9"
"22O2000","428107","426675","1","24-Feb-15","2000","A","Dry","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Serious","Male","39","Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw","3","1","4","1","","2","1","39","20"
"22P0597","426250","431949","2","25-Feb-15","850","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Female","44","Bus or coach (17 or more passenger seats)","6","1","1","1","","3","2","44","11"
"22P0838","435055","428912","2","25-Feb-15","835","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","27","Car","6","1","1","1","","3","2","27","9"
"22P1334","428097","434507","2","25-Feb-15","1920","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Slight","Male","21","Car","6","2","4","1","","3","1","21","9"
"22P1334","428097","434507","2","25-Feb-15","1920","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","52","Car","6","2","4","1","","3","2","52","9"
"22P1334","428097","434507","2","25-Feb-15","1920","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","26","Car","6","2","4","1","","3","2","26","9"
"22P1334","428097","434507","2","25-Feb-15","1920","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Slight","Male","32","Taxi/Private hire car","6","2","4","1","","3","1","32","8"
"22P1334","428097","434507","2","25-Feb-15","1920","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","39","Taxi/Private hire car","6","2","4","1","","3","2","39","8"
"22P1334","428097","434507","2","25-Feb-15","1920","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Female","35","Taxi/Private hire car","6","2","4","1","","3","2","35","8"
"22Q0226","424177","430454","2","26-Feb-15","740","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","20","Car","3","2","1","1","","3","1","20","9"
"22Q0226","424177","430454","2","26-Feb-15","740","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","48","Car","3","2","1","1","","3","2","48","9"
"22Q0270","427996","436017","2","26-Feb-15","836","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","45","Pedal cycle","3","2","1","1","","3","1","45","1"
"22Q0461","429562","433444","1","26-Feb-15","1107","Unclassified","Wet / Damp","Daylight: street lights present","Fine without high winds","Pedestrian","Serious","Male","20","Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw","6","2","1","1","3","2","1","20","20"
"22Q0596","429805","438917","2","24-Feb-15","845","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","24","Goods vehicle 3.5 tonnes mgw and under","3","1","1","1","","3","1","24","19"
"22Q0596","429805","438917","2","24-Feb-15","845","A","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","31","Goods vehicle 3.5 tonnes mgw and under","3","1","1","1","","3","1","31","19"
"22Q0937","423521","434343","7","26-Feb-15","1610","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","20","Car","3","1","1","1","","3","1","20","9"
"22Q0937","423521","434343","7","26-Feb-15","1610","A","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","46","Car","3","1","1","1","","3","1","46","9"
"22Q0937","423521","434343","7","26-Feb-15","1610","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","37","Car","3","1","1","1","","3","2","37","9"
"22Q0937","423521","434343","7","26-Feb-15","1610","A","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","39","Car","3","1","1","1","","3","1","39","9"
"22Q0937","423521","434343","7","26-Feb-15","1610","A","Dry","Daylight: street lights present","Fine without high winds","Passenger","Slight","Male","22","Car","3","1","1","1","","3","1","22","9"
"22Q1166","426260","427860","2","26-Feb-15","1810","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Passenger","Slight","Male","6","Car","6","1","4","1","","3","1","6","9"
"22Q1260","431980","435603","2","26-Feb-15","1906","Unclassified","Wet / Damp","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Slight","Male","35","Car","6","2","4","1","","3","1","35","9"
"22R0286","427897","431335","3","27-Feb-15","841","Motorway","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","45","Car","1","1","1","1","","3","2","45","9"
"22R0286","427897","431335","3","27-Feb-15","841","Motorway","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","28","Car","1","1","1","1","","3","1","28","9"
"22R1697","422487","433980","1","27-Feb-15","2225","A","Dry","Darkness: street lights present and lit","Fine without high winds","Driver/Rider","Slight","Male","40","Car","3","1","4","1","","3","1","40","9"
"22S0252","428371","435023","2","28-Feb-15","322","Unclassified","Dry","Darkness: street lights present and lit","Fine without high winds","Pedestrian","Slight","Male","20","Car","6","1","4","1","3","3","1","20","9"
"22S0753","430555","435102","2","28-Feb-15","1100","A","Wet / Damp","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Male","36","Car","3","2","1","1","","3","1","36","9"
"22S0907","428465","435252","2","28-Feb-15","1339","Unclassified","Dry","Daylight: street lights present","Fine without high winds","Driver/Rider","Slight","Female","20","Pedal cycle","6","1","1","1","","3","2","20","1"
"2310171","435763","425932","2","01-Mar-15","153","Motorway","Dry","Darkness: street lights present and lit","Fine with high winds","Driver/Rider","Slight","Female","54","Car","1","1","4","4","","3","2","54","9"
"2310171","435763","425932","2","01-Mar-15","153","Motorway","Dry","Darkness: street lights present and lit","Fine with high winds","Passenger","Slight","Female","90","Car","1","1","4","4","","3","2","90","9"
