Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1142468,2,10/02/2022,2040,3,1,4,1,3,1,2,30,3,9,9,0,0,0,0,0,0,0,0
1142714,2,11/02/2022,1405,6,1,1,1,1,1,1,58,3,9,1,0,0,0,0,0,0,0,0
1142734,2,10/02/2022,2203,3,1,4,1,1,3,1,34,3,9,9,0,0,0,0,0,0,0,0
1142776,1,11/02/2022,0825,6,1,1,1,1,3,1,12,2,9,0,0,0,0,0,0,0,0,0
1142918,1,12/02/2022,1317,6,2,1,1,1,1,2,22,3,9,0,0,0,0,0,0,0,0,0
1142918,1,12/02/2022,1317,6,2,1,1,2,2,1,29,2,9,0,0,0,0,0,0,0,0,0
1142946,2,10/02/2022,0851,6,1,1,1,1,1,2,25,3,9,9,0,0,0,0,0,0,0,0
1142946,2,10/02/2022,0851,6,1,1,1,2,2,1,6,2,9,9,0,0,0,0,0,0,0,0
1142960,1,12/02/2022,0220,6,2,6,1,1,1,1,20,2,9,0,0,0,0,0,0,0,0,0
1142987,1,13/02/2022,0041,4,2,4,1,1,1,1,32,2,9,0,0,0,0,0,0,0,0,0
1143113,2,13/02/2022,1732,6,2,4,1,1,1,1,35,3,19,9,0,0,0,0,0,0,0,0
1143113,2,13/02/2022,1732,6,2,4,1,2,2,2,35,3,19,9,0,0,0,0,0,0,0,0
1143113,2,13/02/2022,1732,6,2,4,1,3,2,2,11,3,19,9,0,0,0,0,0,0,0,0
1143133,2,13/02/2022,1917,3,2,4,1,1,1,1,22,3,9,23,0,0,0,0,0,0,0,0
1143334,1,14/02/2022,1050,6,2,1,2,1,3,2,33,3,19,0,0,0,0,0,0,0,0,0
