Reference Number,Number of vehicles,Date,Time,Road class,Road surface description,Lighting conditions,Weather conditions,Casualty number,Casualty Class,Sex of Casualty,Age of Casualty,Casualty Severity,Type of vehicle 1,Type of vehicle 2,Type of vehicle 3,Type of vehicle 4,Type of vehicle 5,Type of vehicle 6,Type of vehicle 7,Type of vehicle 8,Type of vehicle 9,Type of vehicle 10
1272605,4,05/02/2023,2345,6,1,4,1,1,2,1,36,3,9,9,9,9,0,0,0,0,0,0
1272605,4,05/02/2023,2345,6,1,4,1,2,2,1,19,3,9,9,9,9,0,0,0,0,0,0
1272605,4,05/02/2023,2345,6,1,4,1,3,1,1,18,2,9,9,9,9,0,0,0,0,0,0
1272998,2,06/02/2023,1704,6,1,4,1,1,1,1,45,2,9,98,0,0,0,0,0,0,0,0
1273000,2,05/02/2023,1200,3,1,1,1,1,1,1,54,3,9,1,0,0,0,0,0,0,0,0
1273053,2,04/02/2023,1707,6,1,4,1,1,3,2,30,3,9,9,0,0,0,0,0,0,0,0
1273356,2,07/02/2023,0757,6,2,1,1,1,1,2,39,3,9,9,0,0,0,0,0,0,0,0
1273356,2,07/02/2023,0757,6,2,1,1,2,1,2,19,3,9,9,0,0,0,0,0,0,0,0
1273455,2,07/02/2023,0830,6,1,1,1,1,1,1,18,3,9,4,0,0,0,0,0,0,0,0
1273489,1,04/02/2023,2145,6,1,4,1,1,3,2,20,2,8,0,0,0,0,0,0,0,0,0
1273497,2,03/02/2023,1415,6,1,1,1,1,1,1,55,3,98,1,0,0,0,0,0,0,0,0
1273537,1,07/02/2023,1949,6,1,4,1,1,3,2,58,2,9,0,0,0,0,0,0,0,0,0
1273788,2,06/02/2023,1750,3,1,7,1,1,1,1,37,3,9,9,0,0,0,0,0,0,0,0
1274512,2,06/02/2023,1300,6,1,1,1,1,1,1,26,3,9,3,0,0,0,0,0,0,0,0
1274868,1,10/02/2023,1130,6,2,1,1,1,3,2,51,3,9,0,0,0,0,0,0,0,0,0
1274884,2,09/02/2023,1730,3,1,7,1,1,2,1,45,2,9,11,0,0,0,0,0,0,0,0
1274927,1,10/02/2023,1240,6,1,1,1,1,3,1,65,2,90,0,0,0,0,0,0,0,0,0
1275124,2,07/02/2023,1400,6,1,1,1,1,1,1,20,3,9,1,0,0,0,0,0,0,0,0
1275273,2,26/01/2023,1820,4,1,4,1,1,1,2,45,3,9,9,0,0,0,0,0,0,0,0
1275420,2,12/02/2023,2339,3,1,4,1,1,1,1,16,3,9,3,0,0,0,0,0,0,0,0
1275783,2,13/02/2023,1618,6,1,1,1,1,1,1,33,3,9,1,0,0,0,0,0,0,0,0
1275791,1,13/02/2023,1830,6,1,4,1,1,3,1,74,2,9,0,0,0,0,0,0,0,0,0
1275808,2,13/02/2023,1653,3,1,4,1,1,1,1,41,3,9,9,0,0,0,0,0,0,0,0
1275827,2,13/02/2023,1735,6,1,4,1,1,1,1,20,3,9,97,0,0,0,0,0,0,0,0
1275832,3,13/02/2023,1919,6,1,7,1,1,3,2,33,2,9,9,9,0,0,0,0,0,0,0
1275846,1,09/02/2023,1335,6,1,1,1,1,3,2,55,2,11,0,0,0,0,0,0,0,0,0
1276175,2,14/02/2023,1414,4,1,1,1,1,1,2,32,3,9,9,0,0,0,0,0,0,0,0
1276214,2,14/02/2023,1415,6,1,1,1,1,1,1,30,2,23,19,0,0,0,0,0,0,0,0
1276225,2,14/02/2023,1300,6,1,1,5,1,1,2,52,2,9,9,0,0,0,0,0,0,0,0
1276225,2,14/02/2023,1300,6,1,1,5,2,1,1,19,2,9,9,0,0,0,0,0,0,0,0
1276244,2,14/02/2023,0014,6,1,4,1,1,1,1,50,3,9,9,0,0,0,0,0,0,0,0
1276273,1,14/02/2023,1928,6,2,4,1,1,3,1,22,3,11,0,0,0,0,0,0,0,0,0
1276281,2,14/02/2023,1530,3,1,1,1,1,1,2,21,3,9,9,0,0,0,0,0,0,0,0
1276464,1,15/02/2023,0830,3,1,1,1,1,3,1,81,2,9,0,0,0,0,0,0,0,0,0
1276743,2,10/02/2023,1235,3,2,1,4,1,1,2,50,3,9,98,0,0,0,0,0,0,0,0
1276748,2,15/02/2023,0129,6,1,4,1,1,1,1,40,3,9,9,0,0,0,0,0,0,0,0
1276990,1,14/02/2023,1437,6,1,1,1,1,3,2,35,3,9,0,0,0,0,0,0,0,0,0
1277231,1,14/02/2023,1920,6,1,7,1,1,3,2,18,3,9,0,0,0,0,0,0,0,0,0
1277297,2,15/02/2023,1450,3,1,1,1,1,1,1,13,2,9,1,0,0,0,0,0,0,0,0
1277307,4,16/02/2023,1559,6,1,1,1,1,3,1,12,3,9,9,9,9,0,0,0,0,0,0
1277336,1,17/02/2023,0125,3,2,4,2,1,2,2,38,2,9,0,0,0,0,0,0,0,0,0
1277336,1,17/02/2023,0125,3,2,4,2,2,2,2,35,2,9,0,0,0,0,0,0,0,0,0
1277344,1,17/02/2023,0314,6,2,4,1,1,3,1,19,2,9,0,0,0,0,0,0,0,0,0
1277576,1,17/02/2023,0920,2,1,1,4,1,3,1,56,3,97,0,0,0,0,0,0,0,0,0
1277604,1,16/02/2023,1455,6,2,1,1,1,3,1,16,3,98,0,0,0,0,0,0,0,0,0
1277667,1,17/02/2023,1427,3,1,1,4,1,1,1,17,2,4,0,0,0,0,0,0,0,0,0
1277667,1,17/02/2023,1427,3,1,1,4,2,2,1,15,2,4,0,0,0,0,0,0,0,0,0
1277678,2,15/02/2023,0900,6,1,1,1,1,1,1,62,3,9,9,0,0,0,0,0,0,0,0
1277678,2,15/02/2023,0900,6,1,1,1,2,1,2,43,3,9,9,0,0,0,0,0,0,0,0
1277678,2,15/02/2023,0900,6,1,1,1,3,2,2,54,3,9,9,0,0,0,0,0,0,0,0
1277768,1,17/02/2023,2055,4,2,4,2,1,3,1,20,2,9,0,0,0,0,0,0,0,0,0
1277877,3,17/02/2023,1330,3,1,1,4,1,1,2,19,3,9,9,9,0,0,0,0,0,0,0
1277877,3,17/02/2023,1330,3,1,1,4,2,2,2,51,3,9,9,9,0,0,0,0,0,0,0
1277877,3,17/02/2023,1330,3,1,1,4,3,2,1,21,3,9,9,9,0,0,0,0,0,0,0
1277879,1,18/02/2023,0130,6,1,4,4,1,3,2,21,2,9,0,0,0,0,0,0,0,0,0
1277884,2,17/02/2023,2000,1,2,7,4,1,1,2,52,3,9,9,0,0,0,0,0,0,0,0
1277890,2,17/02/2023,1518,3,1,1,1,1,1,2,33,3,20,9,0,0,0,0,0,0,0,0
1277944,2,18/02/2023,1750,6,2,4,1,1,1,1,33,3,9,1,0,0,0,0,0,0,0,0
1278021,2,18/02/2023,1745,6,1,4,1,1,1,1,39,3,9,9,0,0,0,0,0,0,0,0
1278021,2,18/02/2023,1745,6,1,4,1,2,2,2,51,3,9,9,0,0,0,0,0,0,0,0
1278107,2,19/02/2023,1556,6,1,1,1,1,1,1,15,2,9,90,0,0,0,0,0,0,0,0
